trial,seed,ede_final_step,levin_final_step,ede_initial_agg,ede_peak_agg,ede_peak_step,ede_final_agg,levin_initial_agg,levin_peak_agg,levin_peak_step,levin_final_agg,initial_delta,peak_delta,final_delta
0,42,198,191,70.0000,70.0000,0,70.0000,75.0000,92.0000,36,70.0000,5.0000,22.0000,0.0000
1,43,202,178,63.0000,63.0000,0,63.0000,66.0000,89.0000,66,63.0000,3.0000,26.0000,0.0000
2,44,200,198,63.0000,63.0000,0,63.0000,86.0000,89.0000,7,63.0000,23.0000,26.0000,0.0000
3,45,190,201,83.0000,83.0000,0,83.0000,78.0000,90.0000,116,83.0000,5.0000,7.0000,0.0000
4,46,216,172,69.0000,69.0000,0,69.0000,68.0000,91.0000,20,69.0000,1.0000,22.0000,0.0000
5,47,197,190,79.0000,79.0000,0,79.0000,76.0000,96.0000,15,78.0000,3.0000,17.0000,1.0000
6,48,206,191,66.0000,66.0000,0,66.0000,72.0000,92.0000,56,67.0000,6.0000,26.0000,1.0000
7,49,208,196,68.0000,68.0000,0,68.0000,71.0000,85.0000,41,68.0000,3.0000,17.0000,0.0000
8,50,194,192,72.0000,72.0000,0,72.0000,57.0000,88.0000,41,72.0000,15.0000,16.0000,0.0000
9,51,211,182,79.0000,79.0000,0,79.0000,73.0000,87.0000,42,79.0000,6.0000,8.0000,0.0000
