step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,24.00,40.00,0.0000,-1,48,48.00,0.2563,0.1499,1.5632,1.2955,0,0,false
1,44.00,58.00,0.0000,-1,47,47.00,0.2229,0.1693,1.5632,1.3710,35,0,false
2,44.00,56.00,0.0000,-1,46,46.00,0.2229,0.1680,1.5632,1.2955,36,0,false
3,52.00,58.00,0.0000,-1,45,45.00,0.2048,0.1666,1.5632,0.8813,31,0,false
4,60.00,62.00,0.0000,-1,44,44.00,0.1939,0.1680,1.5632,0.8813,32,0,false
5,62.00,64.00,0.0000,-1,42,42.00,0.1706,0.1653,1.5632,0.9710,33,0,false
6,68.00,72.00,0.0000,-1,41,41.00,0.1604,0.1654,1.5632,0.9710,29,0,false
7,66.00,70.00,0.0000,-1,40,40.00,0.1520,0.1647,1.5632,1.0000,27,0,false
8,74.00,74.00,0.0000,-1,39,39.00,0.1414,0.1634,1.5632,0.9710,25,0,false
9,68.00,68.00,0.0000,-1,38,38.00,0.1449,0.1621,1.5632,0.9710,21,0,false
10,82.00,78.00,0.0000,-1,37,37.00,0.1283,0.1560,1.5632,0.9710,16,0,false
11,76.00,76.00,0.0000,-1,35,35.00,0.1232,0.1515,1.5632,1.0000,17,0,false
12,78.00,76.00,0.0000,-1,33,33.00,0.1190,0.1466,1.5632,1.0000,17,0,false
13,76.00,74.00,0.0000,-1,32,32.00,0.1137,0.1420,1.5632,1.0000,17,0,false
14,82.00,82.00,0.0000,-1,31,31.00,0.1031,0.1374,1.5632,0.9710,18,0,false
15,86.00,82.00,0.0000,-1,30,30.00,0.0967,0.1316,1.5632,0.9710,17,0,false
16,80.00,84.00,0.0000,-1,29,29.00,0.0836,0.1250,1.5632,0.8813,12,0,false
17,80.00,88.00,0.0000,-1,28,28.00,0.0768,0.1188,1.5632,0.7219,16,0,false
18,88.00,92.00,0.0000,-1,27,27.00,0.0667,0.1088,1.5632,0.7219,12,0,false
19,90.00,92.00,0.0000,-1,26,26.00,0.0595,0.1041,1.5632,0.7219,9,0,false
20,98.00,90.00,0.0000,-1,25,25.00,0.0574,0.0982,1.5632,0.7219,9,0,false
21,94.00,94.00,0.0000,-1,24,24.00,0.0502,0.0915,1.5632,0.7219,7,0,false
22,86.00,92.00,0.0000,-1,23,23.00,0.0482,0.0877,1.5632,0.7219,7,0,false
23,92.00,94.00,0.0000,-1,21,21.00,0.0379,0.0785,1.5632,0.7219,7,0,false
24,90.00,94.00,0.0000,-1,20,20.00,0.0374,0.0723,1.5632,0.7219,7,0,false
25,92.00,96.00,0.0000,-1,19,19.00,0.0334,0.0691,1.5632,0.7219,7,0,false
26,92.00,96.00,0.0000,-1,18,18.00,0.0323,0.0653,1.5632,0.7219,6,0,false
27,94.00,94.00,0.0000,-1,17,17.00,0.0320,0.0650,1.5632,0.7219,5,0,false
28,86.00,98.00,0.0000,-1,16,16.00,0.0253,0.0556,1.5632,0.7219,5,0,false
29,88.00,98.00,0.0000,-1,15,15.00,0.0251,0.0523,1.5632,0.8813,3,0,false
30,92.00,98.00,0.0000,-1,14,14.00,0.0208,0.0483,1.5632,0.8813,3,0,false
31,92.00,98.00,0.0000,-1,13,13.00,0.0193,0.0414,1.5632,0.8813,2,0,false
32,90.00,98.00,0.0000,-1,12,12.00,0.0159,0.0316,1.5632,0.8813,2,0,false
33,96.00,98.00,0.0000,-1,10,10.00,0.0152,0.0254,1.5632,0.8813,2,0,false
34,96.00,100.00,0.0000,-1,8,8.00,0.0130,0.0218,1.5632,0.8813,2,0,false
35,88.00,100.00,0.0000,-1,7,7.00,0.0121,0.0188,1.5632,0.8813,2,0,false
36,88.00,100.00,0.0000,-1,6,6.00,0.0120,0.0183,1.5632,0.8813,1,0,false
37,88.00,100.00,0.0000,-1,5,5.00,0.0113,0.0176,1.5632,0.8813,1,0,false
38,90.00,100.00,0.0000,-1,4,4.00,0.0111,0.0171,1.5632,0.8813,1,0,false
