step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,0.00,56.00,0.6939,33,48,40.50,0.1790,0.1332,1.5844,1.5710,0,0,false
1,4.00,56.00,0.6939,32,47,39.50,0.1729,0.1313,1.5844,1.5219,47,0,false
2,8.00,60.00,0.6939,31,46,38.50,0.1594,0.1245,1.5844,1.5219,44,0,false
3,18.00,62.00,0.6939,30,45,37.50,0.1485,0.1163,1.5844,1.3610,40,0,false
4,22.00,60.00,0.6939,29,44,36.50,0.1389,0.1078,1.5844,1.0000,36,0,false
5,30.00,62.00,0.6939,28,43,35.50,0.1254,0.1047,1.5844,1.0000,32,0,false
6,36.00,70.00,0.6939,27,42,34.50,0.1150,0.0973,1.5844,1.0000,29,0,false
7,28.00,70.00,0.6939,26,41,33.50,0.1055,0.0935,1.5844,0.9710,28,0,false
8,46.00,72.00,0.6939,25,40,32.50,0.0971,0.0871,1.5844,1.2955,26,0,false
9,32.00,82.00,0.6939,24,39,31.50,0.0865,0.0821,1.5844,1.2955,25,0,false
10,46.00,84.00,0.6939,23,38,30.50,0.0768,0.0764,1.5844,1.2955,24,0,false
11,50.00,86.00,0.6939,22,37,29.50,0.0708,0.0675,1.5844,1.2955,21,0,false
12,46.00,90.00,0.6939,21,36,28.50,0.0622,0.0626,1.5844,1.2955,21,0,false
13,46.00,90.00,0.6939,20,35,27.50,0.0549,0.0559,1.5844,1.2955,20,0,false
14,60.00,90.00,0.6939,19,34,26.50,0.0485,0.0497,1.5844,1.2955,18,0,false
15,58.00,94.00,0.6939,18,33,25.50,0.0448,0.0433,1.5844,1.3610,18,0,false
16,54.00,96.00,0.6939,17,32,24.50,0.0382,0.0388,1.5844,1.3610,18,0,false
17,54.00,98.00,0.6939,16,31,23.50,0.0334,0.0330,1.5844,1.3610,17,0,false
18,64.00,98.00,0.6939,15,30,22.50,0.0296,0.0313,1.5844,1.3610,15,0,false
19,62.00,98.00,0.6939,14,29,21.50,0.0292,0.0302,1.5844,1.2955,13,0,false
20,58.00,98.00,0.6939,13,28,20.50,0.0268,0.0299,1.5844,1.2955,13,0,false
21,62.00,98.00,0.6939,12,27,19.50,0.0249,0.0289,1.5844,1.2955,12,0,false
22,74.00,98.00,0.6939,11,26,18.50,0.0231,0.0277,1.5844,1.2955,11,0,false
23,72.00,98.00,0.6939,10,25,17.50,0.0208,0.0276,1.5844,1.2955,10,0,false
24,74.00,98.00,0.6939,9,24,16.50,0.0202,0.0268,1.5844,1.2955,9,0,false
25,80.00,98.00,0.6939,8,23,15.50,0.0197,0.0270,1.5844,1.2955,6,0,false
26,74.00,98.00,0.6939,7,22,14.50,0.0196,0.0262,1.5844,1.2955,5,0,false
27,78.00,98.00,0.6939,6,21,13.50,0.0196,0.0260,1.5844,1.2955,5,0,false
28,80.00,98.00,0.6939,5,20,12.50,0.0191,0.0259,1.5844,1.2955,5,0,false
29,70.00,98.00,0.6939,4,19,11.50,0.0188,0.0256,1.5844,1.2955,5,0,false
30,78.00,98.00,0.6939,3,18,10.50,0.0172,0.0244,1.5844,1.2955,4,0,false
31,88.00,98.00,0.6939,2,17,9.50,0.0165,0.0227,1.5844,1.2955,4,0,false
32,82.00,100.00,0.6939,1,16,8.50,0.0148,0.0217,1.5844,1.2955,3,0,false
33,82.00,100.00,0.6939,0,15,7.50,0.0145,0.0211,1.5844,1.2955,3,0,false
34,80.00,100.00,0.7143,0,14,7.00,0.0142,0.0201,1.5844,1.2955,2,0,false
35,78.00,100.00,0.7347,0,13,6.50,0.0142,0.0195,1.5844,1.4855,2,0,false
36,80.00,100.00,0.7551,0,12,6.00,0.0142,0.0195,1.5844,1.4855,2,0,false
37,80.00,100.00,0.7755,0,11,5.50,0.0142,0.0195,1.5844,1.4855,2,0,false
38,80.00,100.00,0.7959,0,10,5.00,0.0142,0.0195,1.5844,1.4855,2,0,false
39,78.00,100.00,0.8163,0,9,4.50,0.0142,0.0195,1.5844,1.5219,2,0,false
40,80.00,100.00,0.8367,0,8,4.00,0.0136,0.0194,1.5844,1.5219,2,0,false
41,80.00,100.00,0.8571,0,7,3.50,0.0136,0.0194,1.5844,1.5219,1,0,false
42,78.00,100.00,0.8776,0,6,3.00,0.0136,0.0194,1.5844,1.5219,1,0,false
43,80.00,100.00,0.8980,0,5,2.50,0.0130,0.0185,1.5844,1.5219,1,0,false
44,82.00,100.00,0.9184,0,4,2.00,0.0122,0.0162,1.5844,1.5219,1,0,false
