step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,46.00,44,-1,44.00,0.1716,0.1455,1.5844,1.4855,0
1,42.00,43,-1,43.00,0.1728,0.1431,1.5844,1.4855,44
2,58.00,42,-1,42.00,0.1592,0.1407,1.5844,1.5710,40
3,58.00,41,-1,41.00,0.1476,0.1403,1.5844,1.5710,37
4,42.00,40,-1,40.00,0.1354,0.1298,1.5844,1.5710,32
5,48.00,39,-1,39.00,0.1274,0.1223,1.5844,1.5710,31
6,46.00,38,-1,38.00,0.1194,0.1250,1.5844,1.5710,29
7,46.00,37,-1,37.00,0.1142,0.1220,1.5844,1.5219,27
8,52.00,36,-1,36.00,0.1108,0.1198,1.5844,1.5219,26
9,58.00,35,-1,35.00,0.1074,0.1166,1.5844,1.5219,24
10,60.00,34,-1,34.00,0.0992,0.1138,1.5844,1.4855,24
11,38.00,33,-1,33.00,0.0931,0.1053,1.5844,1.4855,24
12,50.00,32,-1,32.00,0.0815,0.1003,1.5844,1.3710,23
13,60.00,31,-1,31.00,0.0778,0.0950,1.5844,1.3710,22
14,52.00,30,-1,30.00,0.0778,0.0941,1.5844,1.3710,21
15,62.00,29,-1,29.00,0.0727,0.0921,1.5844,1.3710,21
16,58.00,28,-1,28.00,0.0662,0.0921,1.5844,1.3710,20
17,60.00,27,-1,27.00,0.0649,0.0896,1.5844,1.3710,18
18,58.00,26,-1,26.00,0.0611,0.0877,1.5844,1.3710,16
19,64.00,25,-1,25.00,0.0540,0.0829,1.5844,1.3710,16
20,64.00,24,-1,24.00,0.0485,0.0791,1.5844,1.3710,14
21,54.00,23,-1,23.00,0.0431,0.0731,1.5844,1.3710,12
22,58.00,22,-1,22.00,0.0397,0.0627,1.5844,1.3710,12
23,60.00,21,-1,21.00,0.0363,0.0561,1.5844,1.3710,12
24,64.00,20,-1,20.00,0.0329,0.0540,1.5844,1.3710,12
25,62.00,19,-1,19.00,0.0329,0.0522,1.5844,1.3710,11
26,62.00,18,-1,18.00,0.0329,0.0522,1.5844,1.2955,11
27,58.00,17,-1,17.00,0.0312,0.0505,1.5844,0.9710,11
28,58.00,16,-1,16.00,0.0244,0.0423,1.5844,0.9710,11
29,56.00,15,-1,15.00,0.0176,0.0337,1.5844,0.9710,8
30,58.00,14,-1,14.00,0.0125,0.0262,1.5844,0.9710,3
31,58.00,14,-1,14.00,0.0108,0.0252,1.5844,0.9710,1
32,58.00,14,-1,14.00,0.0102,0.0248,1.5844,0.9710,1
33,58.00,14,-1,14.00,0.0102,0.0248,1.5844,0.9710,0
