step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,70.00,52.00,0.3878,48,18,33.00,0.1958,0.1546,1.5827,1.5219,0,0,false
1,70.00,54.00,0.3878,47,17,32.00,0.1911,0.1545,1.5827,1.5710,42,0,false
2,68.00,60.00,0.3878,46,16,31.00,0.1758,0.1510,1.5827,1.5710,40,0,false
3,66.00,68.00,0.3878,45,15,30.00,0.1602,0.1494,1.5827,1.5219,39,0,false
4,66.00,72.00,0.3878,44,14,29.00,0.1505,0.1477,1.5827,1.5219,35,0,false
5,64.00,70.00,0.3878,43,13,28.00,0.1466,0.1441,1.5827,1.5219,29,0,false
6,70.00,74.00,0.3878,42,12,27.00,0.1348,0.1430,1.5827,1.3610,29,0,false
7,66.00,76.00,0.3878,41,11,26.00,0.1262,0.1387,1.5827,1.3610,27,0,false
8,66.00,78.00,0.3878,40,10,25.00,0.1189,0.1340,1.5827,1.3610,25,0,false
9,70.00,78.00,0.3878,39,9,24.00,0.1082,0.1285,1.5827,1.5219,25,0,false
10,66.00,78.00,0.3878,38,8,23.00,0.0975,0.1187,1.5827,1.5219,19,0,false
11,60.00,84.00,0.3878,37,7,22.00,0.0890,0.1133,1.5827,1.4855,18,0,false
12,52.00,84.00,0.3878,36,6,21.00,0.0833,0.1131,1.5827,1.3710,16,0,false
13,64.00,84.00,0.3878,35,5,20.00,0.0770,0.1095,1.5827,1.1568,15,0,false
14,68.00,82.00,0.3878,34,4,19.00,0.0737,0.1003,1.5827,1.1568,15,0,false
15,74.00,86.00,0.3878,33,3,18.00,0.0658,0.0951,1.5827,1.1568,15,0,false
16,60.00,88.00,0.4082,32,3,17.50,0.0565,0.0895,1.5827,1.1568,13,0,false
17,64.00,92.00,0.4286,31,3,17.00,0.0519,0.0852,1.5827,1.1568,10,0,false
18,72.00,92.00,0.4490,30,3,16.50,0.0519,0.0852,1.5827,1.1568,9,0,false
19,68.00,92.00,0.4694,29,3,16.00,0.0485,0.0832,1.5827,1.1568,9,0,false
20,68.00,92.00,0.4898,28,3,15.50,0.0421,0.0768,1.5827,1.1568,9,0,false
21,62.00,92.00,0.5102,27,3,15.00,0.0415,0.0725,1.5827,1.1568,8,0,false
22,70.00,92.00,0.5306,26,3,14.50,0.0395,0.0707,1.5827,1.1568,8,0,false
23,62.00,92.00,0.5510,25,3,14.00,0.0340,0.0641,1.5827,1.1568,8,0,false
24,64.00,98.00,0.5714,24,3,13.50,0.0244,0.0506,1.5827,1.1568,8,0,false
25,62.00,98.00,0.5918,23,3,13.00,0.0238,0.0447,1.5827,1.1568,6,0,false
26,60.00,98.00,0.6122,22,3,12.50,0.0238,0.0447,1.5827,1.1568,5,0,false
27,66.00,98.00,0.6327,21,3,12.00,0.0238,0.0447,1.5827,1.1568,5,0,false
28,64.00,98.00,0.6531,20,3,11.50,0.0221,0.0447,1.5827,1.1568,5,0,false
29,64.00,98.00,0.6735,19,3,11.00,0.0204,0.0423,1.5827,1.1568,3,0,false
30,60.00,98.00,0.6939,18,3,10.50,0.0198,0.0391,1.5827,1.1568,3,0,false
31,66.00,98.00,0.7143,17,3,10.00,0.0198,0.0383,1.5827,1.1568,3,0,false
32,62.00,98.00,0.7347,16,3,9.50,0.0193,0.0377,1.5827,1.1568,3,0,false
33,64.00,96.00,0.7551,15,3,9.00,0.0193,0.0368,1.5827,1.1568,3,0,false
34,64.00,98.00,0.7755,14,3,8.50,0.0147,0.0317,1.5827,1.1568,3,0,false
35,64.00,96.00,0.7959,13,3,8.00,0.0147,0.0317,1.5827,1.1568,1,0,false
36,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,1,0,false
37,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,1,false
38,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,2,false
39,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,3,false
40,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,4,false
41,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,5,false
42,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,6,false
43,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,7,false
44,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,8,false
45,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,9,false
46,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,10,false
47,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,11,false
48,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,12,false
49,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,13,false
50,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,14,false
51,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,15,false
52,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,16,false
53,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,17,false
54,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,18,false
55,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,19,false
56,62.00,100.00,0.8163,12,3,7.50,0.0102,0.0248,1.5827,1.1568,0,20,true
