step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,98.00,72.00,0.7143,39,25,32.00,0.1479,0.1574,1.5827,0.0000,0,0,false
1,96.00,70.00,0.7143,38,24,31.00,0.1544,0.1599,1.5827,0.0000,38,0,false
2,94.00,72.00,0.7143,37,23,30.00,0.1515,0.1581,1.5827,0.0000,37,0,false
3,96.00,72.00,0.7143,36,22,29.00,0.1474,0.1517,1.5827,0.0000,37,0,false
4,94.00,72.00,0.7143,35,21,28.00,0.1433,0.1473,1.5827,0.0000,37,0,false
5,92.00,70.00,0.7143,34,20,27.00,0.1365,0.1464,1.5827,0.0000,37,0,false
6,94.00,72.00,0.7143,33,19,26.00,0.1229,0.1355,1.5827,0.0000,32,0,false
7,86.00,78.00,0.7143,32,18,25.00,0.1081,0.1271,1.5827,0.0000,30,0,false
8,92.00,78.00,0.7143,31,17,24.00,0.1052,0.1257,1.5827,0.0000,28,0,false
9,92.00,82.00,0.7143,30,16,23.00,0.1011,0.1221,1.5827,0.0000,28,0,false
10,90.00,82.00,0.7143,29,15,22.00,0.0972,0.1176,1.5827,0.4690,27,0,false
11,86.00,82.00,0.7143,28,14,21.00,0.0945,0.1179,1.5827,0.7219,26,0,false
12,80.00,82.00,0.7143,27,13,20.00,0.0945,0.1179,1.5827,0.8813,25,0,false
13,84.00,82.00,0.7143,26,12,19.00,0.0933,0.1176,1.5827,0.9710,25,0,false
14,88.00,82.00,0.7143,25,11,18.00,0.0895,0.1154,1.5827,1.0000,25,0,false
15,86.00,84.00,0.7143,24,10,17.00,0.0867,0.1143,1.5827,0.9710,25,0,false
16,88.00,82.00,0.7143,23,9,16.00,0.0840,0.1095,1.5827,0.9710,23,0,false
17,90.00,84.00,0.7143,22,8,15.00,0.0749,0.0998,1.5827,0.8813,23,0,false
18,84.00,86.00,0.7143,21,7,14.00,0.0627,0.0888,1.5827,0.8813,21,0,false
19,80.00,88.00,0.7143,20,6,13.00,0.0549,0.0868,1.5827,0.8813,15,0,false
20,86.00,90.00,0.7347,19,6,12.50,0.0463,0.0829,1.5827,0.8813,11,0,false
21,90.00,88.00,0.7551,18,6,12.00,0.0429,0.0749,1.5827,0.8813,6,0,false
22,90.00,96.00,0.7755,17,6,11.50,0.0357,0.0676,1.5827,0.8813,6,0,false
23,90.00,96.00,0.7959,16,6,11.00,0.0323,0.0598,1.5827,0.8813,5,0,false
24,84.00,96.00,0.8163,15,6,10.50,0.0304,0.0583,1.5827,0.8813,4,0,false
25,86.00,96.00,0.8367,14,6,10.00,0.0283,0.0542,1.5827,0.8813,4,0,false
26,88.00,94.00,0.8571,13,6,9.50,0.0236,0.0486,1.5827,0.8813,4,0,false
27,90.00,98.00,0.8776,12,6,9.00,0.0170,0.0373,1.5827,0.8813,3,0,false
28,90.00,100.00,0.8776,12,6,9.00,0.0119,0.0281,1.5827,0.8813,2,0,false
29,90.00,100.00,0.8776,12,6,9.00,0.0119,0.0254,1.5827,0.8813,1,0,false
30,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,1,0,false
31,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,1,false
32,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,2,false
33,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,3,false
34,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,4,false
35,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,5,false
36,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,6,false
37,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,7,false
38,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,8,false
39,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,9,false
40,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,10,false
41,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,11,false
42,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,12,false
43,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,13,false
44,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,14,false
45,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,15,false
46,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,16,false
47,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,17,false
48,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,18,false
49,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,19,false
50,90.00,100.00,0.8776,12,6,9.00,0.0102,0.0248,1.5827,0.8813,0,20,true
