step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,100.00,42,-1,42.00,0.1292,0.1429,1.5844,0.0000,0
1,98.00,41,-1,41.00,0.1312,0.1432,1.5844,0.0000,46
2,94.00,40,-1,40.00,0.1272,0.1404,1.5844,0.0000,43
3,96.00,39,-1,39.00,0.1231,0.1365,1.5844,0.0000,43
4,94.00,38,-1,38.00,0.1176,0.1370,1.5844,0.0000,41
5,92.00,37,-1,37.00,0.1138,0.1324,1.5844,0.0000,36
6,90.00,36,-1,36.00,0.1099,0.1277,1.5844,0.0000,34
7,88.00,35,-1,35.00,0.1031,0.1202,1.5844,0.0000,31
8,90.00,34,-1,34.00,0.0895,0.1120,1.5844,0.4690,29
9,88.00,33,-1,33.00,0.0895,0.1120,1.5844,0.7219,27
10,90.00,32,-1,32.00,0.0867,0.1092,1.5844,0.8813,27
11,90.00,31,-1,31.00,0.0840,0.1053,1.5844,0.9710,27
12,88.00,30,-1,30.00,0.0677,0.0886,1.5844,1.0000,27
13,92.00,29,-1,29.00,0.0592,0.0840,1.5844,1.0000,22
14,94.00,28,-1,28.00,0.0545,0.0774,1.5844,1.0000,19
15,94.00,27,-1,27.00,0.0500,0.0772,1.5844,1.0000,13
16,88.00,26,-1,26.00,0.0500,0.0772,1.5844,1.0000,10
17,94.00,25,-1,25.00,0.0454,0.0735,1.5844,1.0000,10
18,94.00,24,-1,24.00,0.0448,0.0694,1.5844,1.0000,9
19,94.00,23,-1,23.00,0.0397,0.0679,1.5844,1.0000,9
20,88.00,22,-1,22.00,0.0280,0.0590,1.5844,1.0000,7
21,86.00,21,-1,21.00,0.0221,0.0464,1.5844,1.0000,5
22,94.00,20,-1,20.00,0.0207,0.0446,1.5844,1.0000,4
23,94.00,19,-1,19.00,0.0207,0.0446,1.5844,1.0000,3
24,94.00,18,-1,18.00,0.0153,0.0351,1.5844,1.0000,3
25,94.00,17,-1,17.00,0.0153,0.0351,1.5844,1.0000,2
26,94.00,16,-1,16.00,0.0147,0.0352,1.5844,1.0000,2
27,94.00,15,-1,15.00,0.0147,0.0343,1.5844,1.0000,1
28,88.00,14,-1,14.00,0.0147,0.0343,1.5844,1.0000,1
29,90.00,13,-1,13.00,0.0102,0.0280,1.5844,1.0000,1
30,90.00,13,-1,13.00,0.0102,0.0280,1.5844,1.0000,0
