step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,4.00,56.00,0.6531,42,25,33.50,0.1666,0.1258,1.5827,1.5710,0,0,false
1,12.00,56.00,0.6531,41,24,32.50,0.1673,0.1259,1.5827,1.5710,43,0,false
2,34.00,60.00,0.6531,40,23,31.50,0.1632,0.1243,1.5827,1.5219,35,0,false
3,26.00,64.00,0.6531,39,22,30.50,0.1576,0.1231,1.5827,1.5710,35,0,false
4,32.00,64.00,0.6531,38,21,29.50,0.1502,0.1264,1.5827,1.5710,35,0,false
5,36.00,66.00,0.6531,37,20,28.50,0.1491,0.1216,1.5827,1.5710,32,0,false
6,26.00,66.00,0.6531,36,19,27.50,0.1436,0.1229,1.5827,1.5710,32,0,false
7,40.00,66.00,0.6531,35,18,26.50,0.1366,0.1202,1.5827,1.5219,27,0,false
8,38.00,66.00,0.6531,34,17,25.50,0.1307,0.1172,1.5827,1.5219,27,0,false
9,38.00,66.00,0.6531,33,16,24.50,0.1280,0.1126,1.5827,1.5219,26,0,false
10,36.00,66.00,0.6531,32,15,23.50,0.1238,0.1141,1.5827,1.3610,26,0,false
11,52.00,64.00,0.6531,31,14,22.50,0.1179,0.1089,1.5827,1.3610,23,0,false
12,48.00,66.00,0.6531,30,13,21.50,0.1142,0.1079,1.5827,1.3610,21,0,false
13,50.00,70.00,0.6531,29,12,20.50,0.1035,0.1093,1.5827,1.3610,20,0,false
14,40.00,74.00,0.6531,28,11,19.50,0.0980,0.1051,1.5827,1.3610,18,0,false
15,32.00,76.00,0.6531,27,10,18.50,0.0905,0.1009,1.5827,1.3610,17,0,false
16,50.00,76.00,0.6531,26,9,17.50,0.0888,0.0946,1.5827,1.5219,17,0,false
17,46.00,76.00,0.6531,25,8,16.50,0.0862,0.0926,1.5827,1.5219,17,0,false
18,46.00,74.00,0.6531,24,7,15.50,0.0821,0.0885,1.5827,1.5710,16,0,false
19,44.00,80.00,0.6531,23,6,14.50,0.0714,0.0835,1.5827,1.5710,16,0,false
20,46.00,80.00,0.6531,22,5,13.50,0.0663,0.0796,1.5827,1.5710,13,0,false
21,46.00,80.00,0.6531,21,4,12.50,0.0627,0.0740,1.5827,1.5710,12,0,false
22,54.00,78.00,0.6531,20,3,11.50,0.0601,0.0698,1.5827,1.5710,12,0,false
23,50.00,88.00,0.6531,19,2,10.50,0.0501,0.0662,1.5827,1.5710,12,0,false
24,58.00,92.00,0.6735,18,2,10.00,0.0442,0.0616,1.5827,1.5710,11,0,false
25,56.00,94.00,0.6939,17,2,9.50,0.0378,0.0587,1.5827,1.5710,9,0,false
26,56.00,94.00,0.7143,16,2,9.00,0.0304,0.0530,1.5827,1.5710,9,0,false
27,48.00,94.00,0.7347,15,2,8.50,0.0287,0.0506,1.5827,1.5710,6,0,false
28,56.00,94.00,0.7551,14,2,8.00,0.0261,0.0478,1.5827,1.5710,6,0,false
29,48.00,96.00,0.7755,13,2,7.50,0.0227,0.0421,1.5827,1.5710,5,0,false
30,60.00,98.00,0.7959,12,2,7.00,0.0227,0.0404,1.5827,1.5710,5,0,false
31,48.00,98.00,0.8163,11,2,6.50,0.0193,0.0360,1.5827,1.5710,5,0,false
32,48.00,98.00,0.8367,10,2,6.00,0.0176,0.0339,1.5827,1.4855,5,0,false
33,54.00,98.00,0.8571,9,2,5.50,0.0176,0.0339,1.5827,1.5219,3,0,false
34,48.00,98.00,0.8776,8,2,5.00,0.0153,0.0325,1.5827,1.5219,3,0,false
35,44.00,98.00,0.8980,7,2,4.50,0.0153,0.0316,1.5827,1.5219,2,0,false
36,48.00,98.00,0.9184,6,2,4.00,0.0153,0.0316,1.5827,1.5219,2,0,false
37,48.00,96.00,0.9388,5,2,3.50,0.0147,0.0317,1.5827,1.5219,2,0,false
38,50.00,100.00,0.9592,4,2,3.00,0.0102,0.0248,1.5827,1.5219,1,0,false
