step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,0.00,42,-1,42.00,0.1630,0.1201,1.5844,1.5710,0
1,16.00,41,-1,41.00,0.1637,0.1202,1.5844,1.5219,43
2,8.00,40,-1,40.00,0.1569,0.1243,1.5844,1.5710,41
3,24.00,39,-1,39.00,0.1557,0.1240,1.5844,1.5710,38
4,32.00,38,-1,38.00,0.1500,0.1236,1.5844,1.5710,36
5,16.00,37,-1,37.00,0.1443,0.1231,1.5844,1.5710,35
6,20.00,36,-1,36.00,0.1387,0.1205,1.5844,1.5710,34
7,34.00,35,-1,35.00,0.1312,0.1126,1.5844,1.4855,32
8,24.00,34,-1,34.00,0.1252,0.1114,1.5844,1.5710,31
9,20.00,33,-1,33.00,0.1180,0.1080,1.5844,1.5710,30
10,30.00,32,-1,32.00,0.1141,0.1059,1.5844,1.4855,27
11,44.00,31,-1,31.00,0.1090,0.1048,1.5844,1.3610,25
12,28.00,30,-1,30.00,0.0957,0.1014,1.5844,1.3610,25
13,40.00,29,-1,29.00,0.0871,0.1002,1.5844,1.3610,21
14,40.00,28,-1,28.00,0.0827,0.0989,1.5844,1.3610,19
15,38.00,27,-1,27.00,0.0769,0.0951,1.5844,1.3610,18
16,38.00,26,-1,26.00,0.0743,0.0887,1.5844,1.3610,18
17,42.00,25,-1,25.00,0.0710,0.0869,1.5844,1.3610,17
18,24.00,24,-1,24.00,0.0635,0.0797,1.5844,1.5219,16
19,30.00,23,-1,23.00,0.0615,0.0765,1.5844,1.5219,13
20,52.00,22,-1,22.00,0.0584,0.0755,1.5844,1.5219,12
21,38.00,21,-1,21.00,0.0553,0.0717,1.5844,1.5219,12
22,42.00,20,-1,20.00,0.0527,0.0685,1.5844,1.5219,12
23,46.00,19,-1,19.00,0.0488,0.0669,1.5844,1.5219,12
24,46.00,18,-1,18.00,0.0429,0.0616,1.5844,1.5219,11
25,56.00,17,-1,17.00,0.0336,0.0600,1.5844,1.5219,10
26,46.00,16,-1,16.00,0.0281,0.0552,1.5844,1.5219,7
27,44.00,15,-1,15.00,0.0261,0.0510,1.5844,1.5219,5
28,48.00,14,-1,14.00,0.0261,0.0510,1.5844,1.5219,4
29,44.00,13,-1,13.00,0.0227,0.0437,1.5844,1.5219,4
30,48.00,12,-1,12.00,0.0193,0.0398,1.5844,1.5219,3
31,44.00,11,-1,11.00,0.0193,0.0373,1.5844,1.5219,3
32,46.00,10,-1,10.00,0.0193,0.0373,1.5844,1.5219,3
33,46.00,9,-1,9.00,0.0193,0.0373,1.5844,1.5710,3
34,42.00,8,-1,8.00,0.0193,0.0373,1.5844,1.4855,3
35,42.00,7,-1,7.00,0.0176,0.0343,1.5844,1.4855,3
36,48.00,6,-1,6.00,0.0176,0.0343,1.5844,1.4855,2
37,48.00,5,-1,5.00,0.0153,0.0329,1.5844,1.4855,2
38,48.00,4,-1,4.00,0.0153,0.0316,1.5844,1.4855,2
39,52.00,3,-1,3.00,0.0108,0.0247,1.5844,1.4855,2
40,54.00,3,-1,3.00,0.0102,0.0248,1.5844,1.4855,1
41,54.00,3,-1,3.00,0.0102,0.0248,1.5844,1.4855,0
