step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,72.00,-1,-1,-1.00,0.1760,0.1096,1.5844,1.2955,0
1,68.00,-1,-1,-1.00,0.1655,0.1061,1.5844,1.2955,39
2,76.00,-1,-1,-1.00,0.1510,0.1060,1.5844,1.3610,35
3,70.00,-1,-1,-1.00,0.1380,0.1055,1.5844,1.3610,34
4,70.00,-1,-1,-1.00,0.1322,0.1042,1.5844,1.3610,32
5,70.00,-1,-1,-1.00,0.1180,0.1037,1.5844,1.0000,31
6,60.00,-1,-1,-1.00,0.1117,0.0993,1.5844,1.3610,27
7,54.00,-1,-1,-1.00,0.1022,0.0953,1.5844,1.5219,26
8,58.00,-1,-1,-1.00,0.0946,0.0930,1.5844,1.5219,23
9,60.00,-1,-1,-1.00,0.0859,0.0911,1.5844,1.5219,23
10,54.00,-1,-1,-1.00,0.0767,0.0895,1.5844,1.5219,17
11,48.00,-1,-1,-1.00,0.0721,0.0878,1.5844,1.5219,14
12,58.00,-1,-1,-1.00,0.0710,0.0835,1.5844,1.5219,13
13,38.00,-1,-1,-1.00,0.0662,0.0799,1.5844,1.5219,13
14,42.00,-1,-1,-1.00,0.0587,0.0753,1.5844,1.5219,12
15,60.00,-1,-1,-1.00,0.0540,0.0662,1.5844,1.5219,12
16,48.00,-1,-1,-1.00,0.0492,0.0623,1.5844,1.5219,12
17,54.00,-1,-1,-1.00,0.0458,0.0571,1.5844,1.5219,11
18,52.00,-1,-1,-1.00,0.0407,0.0560,1.5844,1.5219,10
19,52.00,-1,-1,-1.00,0.0407,0.0547,1.5844,1.5219,9
20,62.00,-1,-1,-1.00,0.0353,0.0509,1.5844,1.5219,9
21,50.00,-1,-1,-1.00,0.0336,0.0471,1.5844,1.5710,8
22,44.00,-1,-1,-1.00,0.0315,0.0453,1.5844,1.5710,8
23,50.00,-1,-1,-1.00,0.0278,0.0420,1.5844,1.5710,8
24,56.00,-1,-1,-1.00,0.0238,0.0386,1.5844,1.5710,6
25,46.00,-1,-1,-1.00,0.0187,0.0320,1.5844,1.5710,5
26,48.00,-1,-1,-1.00,0.0187,0.0297,1.5844,1.5710,4
27,52.00,-1,-1,-1.00,0.0153,0.0267,1.5844,1.5710,4
28,56.00,-1,-1,-1.00,0.0119,0.0228,1.5844,1.5710,3
29,58.00,-1,-1,-1.00,0.0102,0.0216,1.5844,1.5710,2
30,56.00,-1,-1,-1.00,0.0085,0.0200,1.5844,1.5710,2
31,58.00,-1,-1,-1.00,0.0085,0.0200,1.5844,1.5710,1
32,58.00,-1,-1,-1.00,0.0085,0.0200,1.5844,1.5710,1
33,50.00,-1,-1,-1.00,0.0085,0.0200,1.5844,1.5710,1
34,56.00,-1,-1,-1.00,0.0079,0.0201,1.5844,1.5710,1
35,56.00,-1,-1,-1.00,0.0079,0.0201,1.5844,1.5710,0
