step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,72.00,58.00,0.0000,-1,-1,-1.00,0.1665,0.1249,1.5827,1.4855,0,0,false
1,54.00,62.00,0.0000,-1,-1,-1.00,0.1601,0.1208,1.5827,1.4855,40,0,false
2,54.00,60.00,0.0000,-1,-1,-1.00,0.1533,0.1170,1.5827,1.4855,38,0,false
3,70.00,66.00,0.0000,-1,-1,-1.00,0.1425,0.1185,1.5827,1.4855,34,0,false
4,60.00,68.00,0.0000,-1,-1,-1.00,0.1343,0.1153,1.5827,1.4855,32,0,false
5,56.00,68.00,0.0000,-1,-1,-1.00,0.1266,0.1067,1.5827,1.4855,30,0,false
6,62.00,68.00,0.0000,-1,-1,-1.00,0.1207,0.1021,1.5827,1.4855,25,0,false
7,58.00,68.00,0.0000,-1,-1,-1.00,0.1155,0.0988,1.5827,1.4855,24,0,false
8,58.00,68.00,0.0000,-1,-1,-1.00,0.1102,0.0988,1.5827,1.3610,23,0,false
9,54.00,68.00,0.0000,-1,-1,-1.00,0.1050,0.0952,1.5827,1.3610,22,0,false
10,58.00,72.00,0.0000,-1,-1,-1.00,0.0977,0.0923,1.5827,1.3610,20,0,false
11,66.00,72.00,0.0000,-1,-1,-1.00,0.0882,0.0849,1.5827,1.3610,20,0,false
12,52.00,76.00,0.0000,-1,-1,-1.00,0.0800,0.0801,1.5827,1.3610,20,0,false
13,60.00,84.00,0.0000,-1,-1,-1.00,0.0728,0.0763,1.5827,1.3610,20,0,false
14,50.00,86.00,0.0000,-1,-1,-1.00,0.0630,0.0740,1.5827,1.4855,19,0,false
15,54.00,86.00,0.0000,-1,-1,-1.00,0.0565,0.0710,1.5827,1.4855,17,0,false
16,54.00,86.00,0.0000,-1,-1,-1.00,0.0549,0.0692,1.5827,1.4855,15,0,false
17,56.00,86.00,0.0000,-1,-1,-1.00,0.0535,0.0667,1.5827,1.4855,13,0,false
18,40.00,88.00,0.0000,-1,-1,-1.00,0.0478,0.0663,1.5827,1.3610,12,0,false
19,54.00,88.00,0.0000,-1,-1,-1.00,0.0441,0.0649,1.5827,1.3610,10,0,false
20,48.00,88.00,0.0000,-1,-1,-1.00,0.0373,0.0599,1.5827,1.3610,7,0,false
21,52.00,92.00,0.0000,-1,-1,-1.00,0.0353,0.0548,1.5827,1.3610,6,0,false
22,54.00,94.00,0.0000,-1,-1,-1.00,0.0319,0.0509,1.5827,1.3610,6,0,false
23,52.00,98.00,0.0000,-1,-1,-1.00,0.0264,0.0434,1.5827,1.3610,6,0,false
24,50.00,98.00,0.0000,-1,-1,-1.00,0.0230,0.0376,1.5827,1.3610,6,0,false
25,42.00,100.00,0.0000,-1,-1,-1.00,0.0210,0.0350,1.5827,1.3610,5,0,false
26,48.00,100.00,0.0000,-1,-1,-1.00,0.0176,0.0276,1.5827,1.3610,5,0,false
27,54.00,100.00,0.0000,-1,-1,-1.00,0.0159,0.0269,1.5827,1.3610,4,0,false
28,56.00,100.00,0.0000,-1,-1,-1.00,0.0108,0.0215,1.5827,1.3610,4,0,false
29,52.00,100.00,0.0000,-1,-1,-1.00,0.0108,0.0209,1.5827,1.3610,3,0,false
30,52.00,100.00,0.0000,-1,-1,-1.00,0.0108,0.0209,1.5827,1.3610,3,0,false
31,58.00,100.00,0.0000,-1,-1,-1.00,0.0108,0.0209,1.5827,1.3610,3,0,false
32,58.00,100.00,0.0000,-1,-1,-1.00,0.0091,0.0200,1.5827,1.3610,3,0,false
33,52.00,100.00,0.0000,-1,-1,-1.00,0.0091,0.0200,1.5827,1.3610,2,0,false
34,54.00,100.00,0.0000,-1,-1,-1.00,0.0091,0.0200,1.5827,1.3610,2,0,false
35,60.00,100.00,0.0000,-1,-1,-1.00,0.0085,0.0200,1.5827,1.3610,2,0,false
36,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,1,0,false
37,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,1,false
38,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,2,false
39,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,3,false
40,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,4,false
41,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,5,false
42,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,6,false
43,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,7,false
44,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,8,false
45,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,9,false
46,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,10,false
47,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,11,false
48,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,12,false
49,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,13,false
50,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,14,false
51,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,15,false
52,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,16,false
53,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,17,false
54,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,18,false
55,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,19,false
56,60.00,100.00,0.0000,-1,-1,-1.00,0.0079,0.0201,1.5827,1.3610,0,20,true
