step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,100.00,43,-1,43.00,0.1745,0.1221,0.0000,0.0000,0
1,100.00,42,-1,42.00,0.1745,0.1221,0.0000,0.0000,38
2,100.00,41,-1,41.00,0.1622,0.1231,0.0000,0.0000,37
3,100.00,40,-1,40.00,0.1495,0.1204,0.0000,0.0000,36
4,100.00,39,-1,39.00,0.1382,0.1182,0.0000,0.0000,33
5,100.00,38,-1,38.00,0.1236,0.1183,0.0000,0.0000,32
6,100.00,37,-1,37.00,0.1112,0.1173,0.0000,0.0000,29
7,100.00,36,-1,36.00,0.0999,0.1131,0.0000,0.0000,26
8,100.00,35,-1,35.00,0.0887,0.1077,0.0000,0.0000,20
9,100.00,34,-1,34.00,0.0763,0.0980,0.0000,0.0000,18
10,100.00,33,-1,33.00,0.0656,0.0904,0.0000,0.0000,16
11,100.00,32,-1,32.00,0.0601,0.0872,0.0000,0.0000,15
12,100.00,31,-1,31.00,0.0494,0.0770,0.0000,0.0000,15
13,100.00,30,-1,30.00,0.0434,0.0656,0.0000,0.0000,15
14,100.00,29,-1,29.00,0.0380,0.0558,0.0000,0.0000,13
15,100.00,28,-1,28.00,0.0380,0.0530,0.0000,0.0000,13
16,100.00,27,-1,27.00,0.0380,0.0530,0.0000,0.0000,13
17,100.00,26,-1,26.00,0.0380,0.0530,0.0000,0.0000,13
18,100.00,25,-1,25.00,0.0309,0.0475,0.0000,0.0000,13
19,100.00,24,-1,24.00,0.0292,0.0452,0.0000,0.0000,13
20,100.00,23,-1,23.00,0.0275,0.0452,0.0000,0.0000,12
21,100.00,22,-1,22.00,0.0258,0.0451,0.0000,0.0000,11
22,100.00,21,-1,21.00,0.0235,0.0452,0.0000,0.0000,11
23,100.00,20,-1,20.00,0.0235,0.0452,0.0000,0.0000,9
24,100.00,19,-1,19.00,0.0218,0.0429,0.0000,0.0000,9
25,100.00,18,-1,18.00,0.0212,0.0428,0.0000,0.0000,7
26,100.00,17,-1,17.00,0.0212,0.0428,0.0000,0.0000,6
27,100.00,16,-1,16.00,0.0207,0.0430,0.0000,0.0000,6
28,100.00,15,-1,15.00,0.0190,0.0430,0.0000,0.0000,5
29,100.00,14,-1,14.00,0.0190,0.0430,0.0000,0.0000,4
30,100.00,13,-1,13.00,0.0190,0.0430,0.0000,0.0000,4
31,100.00,12,-1,12.00,0.0184,0.0424,0.0000,0.0000,4
32,100.00,11,-1,11.00,0.0184,0.0416,0.0000,0.0000,4
33,100.00,10,-1,10.00,0.0178,0.0410,0.0000,0.0000,4
34,100.00,9,-1,9.00,0.0178,0.0410,0.0000,0.0000,3
35,100.00,8,-1,8.00,0.0178,0.0410,0.0000,0.0000,3
36,100.00,7,-1,7.00,0.0178,0.0410,0.0000,0.0000,3
37,100.00,6,-1,6.00,0.0178,0.0410,0.0000,0.0000,3
38,100.00,5,-1,5.00,0.0133,0.0363,0.0000,0.0000,3
39,100.00,4,-1,4.00,0.0133,0.0363,0.0000,0.0000,1
40,100.00,3,-1,3.00,0.0087,0.0302,0.0000,0.0000,1
41,100.00,3,-1,3.00,0.0087,0.0302,0.0000,0.0000,0
