step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,98.00,60.00,0.1224,48,5,26.50,0.1263,0.1169,0.1414,0.4690,0,0,false
1,98.00,60.00,0.1224,47,4,25.50,0.1263,0.1169,0.1414,0.4690,44,0,false
2,98.00,68.00,0.1224,46,3,24.50,0.1210,0.1196,0.1414,0.4690,43,0,false
3,98.00,66.00,0.1224,45,2,23.50,0.1158,0.1122,0.1414,0.4690,42,0,false
4,96.00,68.00,0.1224,44,1,22.50,0.1069,0.1075,0.1414,0.4690,42,0,false
5,98.00,72.00,0.1224,43,0,21.50,0.0937,0.0969,0.1414,0.4690,39,0,false
6,98.00,74.00,0.1429,42,0,21.00,0.0830,0.0880,0.1414,0.4690,35,0,false
7,98.00,78.00,0.1633,41,0,20.50,0.0776,0.0858,0.1414,0.4690,29,0,false
8,98.00,80.00,0.1837,40,0,20.00,0.0704,0.0804,0.1414,0.4690,29,0,false
9,98.00,82.00,0.2041,39,0,19.50,0.0627,0.0775,0.1414,0.4690,28,0,false
10,98.00,86.00,0.2245,38,0,19.00,0.0573,0.0685,0.1414,0.4690,23,0,false
11,98.00,88.00,0.2449,37,0,18.50,0.0513,0.0645,0.1414,0.4690,23,0,false
12,98.00,86.00,0.2653,36,0,18.00,0.0513,0.0570,0.1414,0.4690,22,0,false
13,98.00,88.00,0.2857,35,0,17.50,0.0496,0.0579,0.1414,0.4690,22,0,false
14,98.00,88.00,0.3061,34,0,17.00,0.0479,0.0585,0.1414,0.4690,21,0,false
15,98.00,88.00,0.3265,33,0,16.50,0.0462,0.0575,0.1414,0.4690,20,0,false
16,98.00,88.00,0.3469,32,0,16.00,0.0445,0.0580,0.1414,0.4690,16,0,false
17,98.00,88.00,0.3673,31,0,15.50,0.0422,0.0586,0.1414,0.4690,16,0,false
18,98.00,88.00,0.3878,30,0,15.00,0.0422,0.0584,0.1414,0.4690,15,0,false
19,98.00,88.00,0.4082,29,0,14.50,0.0399,0.0586,0.1414,0.4690,15,0,false
20,98.00,88.00,0.4286,28,0,14.00,0.0382,0.0548,0.1414,0.4690,15,0,false
21,98.00,86.00,0.4490,27,0,13.50,0.0365,0.0531,0.1414,0.4690,15,0,false
22,98.00,90.00,0.4694,26,0,13.00,0.0303,0.0516,0.1414,0.4690,13,0,false
23,98.00,90.00,0.4898,25,0,12.50,0.0303,0.0495,0.1414,0.4690,10,0,false
24,98.00,90.00,0.5102,24,0,12.00,0.0297,0.0498,0.1414,0.4690,10,0,false
25,98.00,90.00,0.5306,23,0,11.50,0.0292,0.0500,0.1414,0.4690,8,0,false
26,98.00,90.00,0.5510,22,0,11.00,0.0292,0.0500,0.1414,0.4690,7,0,false
27,98.00,90.00,0.5714,21,0,10.50,0.0286,0.0503,0.1414,0.4690,7,0,false
28,98.00,90.00,0.5918,20,0,10.00,0.0280,0.0493,0.1414,0.4690,6,0,false
29,98.00,90.00,0.6122,19,0,9.50,0.0275,0.0489,0.1414,0.4690,6,0,false
30,98.00,90.00,0.6327,18,0,9.00,0.0275,0.0482,0.1414,0.4690,5,0,false
31,98.00,90.00,0.6531,17,0,8.50,0.0275,0.0482,0.1414,0.4690,5,0,false
32,98.00,90.00,0.6735,16,0,8.00,0.0275,0.0482,0.1414,0.4690,5,0,false
33,98.00,88.00,0.6939,15,0,7.50,0.0269,0.0484,0.1414,0.4690,5,0,false
34,98.00,92.00,0.7143,14,0,7.00,0.0224,0.0448,0.1414,0.4690,4,0,false
35,98.00,96.00,0.7347,13,0,6.50,0.0178,0.0410,0.1414,0.4690,3,0,false
36,98.00,94.00,0.7551,12,0,6.00,0.0178,0.0410,0.1414,0.4690,2,0,false
37,98.00,98.00,0.7755,11,0,5.50,0.0133,0.0363,0.1414,0.4690,2,0,false
38,98.00,98.00,0.7959,10,0,5.00,0.0133,0.0363,0.1414,0.4690,1,0,false
39,98.00,98.00,0.8163,9,0,4.50,0.0133,0.0363,0.1414,0.4690,1,0,false
40,98.00,98.00,0.8367,8,0,4.00,0.0133,0.0363,0.1414,0.4690,1,0,false
41,98.00,96.00,0.8571,7,0,3.50,0.0133,0.0363,0.1414,0.4690,1,0,false
42,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,1,0,false
43,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,1,false
44,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,2,false
45,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,3,false
46,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,4,false
47,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,5,false
48,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,6,false
49,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,7,false
50,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,8,false
51,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,9,false
52,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,10,false
53,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,11,false
54,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,12,false
55,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,13,false
56,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,14,false
57,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,15,false
58,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,16,false
59,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,17,false
60,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,18,false
61,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,19,false
62,98.00,100.00,0.8776,6,0,3.00,0.0087,0.0302,0.1414,0.4690,0,20,true
