step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,64.00,48,-1,48.00,0.1917,0.1333,1.5844,1.3710,0
1,68.00,47,-1,47.00,0.1853,0.1305,1.5844,1.3710,35
2,64.00,46,-1,46.00,0.1729,0.1341,1.5844,1.2955,32
3,64.00,45,-1,45.00,0.1620,0.1358,1.5844,1.2955,29
4,58.00,44,-1,44.00,0.1511,0.1340,1.5844,1.2955,28
5,72.00,43,-1,43.00,0.1472,0.1274,1.5844,1.2955,28
6,60.00,42,-1,42.00,0.1416,0.1261,1.5844,1.2955,28
7,60.00,41,-1,41.00,0.1377,0.1236,1.5844,1.1568,27
8,54.00,40,-1,40.00,0.1282,0.1214,1.5844,1.1568,27
9,52.00,39,-1,39.00,0.1175,0.1204,1.5844,1.1568,27
10,64.00,38,-1,38.00,0.1079,0.1215,1.5844,1.1568,22
11,64.00,37,-1,37.00,0.0975,0.1233,1.5844,1.1568,21
12,62.00,36,-1,36.00,0.0880,0.1213,1.5844,1.1568,17
13,68.00,35,-1,35.00,0.0825,0.1163,1.5844,1.1568,17
14,74.00,34,-1,34.00,0.0798,0.1134,1.5844,1.1568,16
15,70.00,33,-1,33.00,0.0771,0.1101,1.5844,0.9219,14
16,64.00,32,-1,32.00,0.0771,0.1073,1.5844,0.9219,14
17,70.00,31,-1,31.00,0.0740,0.1085,1.5844,0.9219,14
18,60.00,30,-1,30.00,0.0714,0.1069,1.5844,0.9219,13
19,60.00,29,-1,29.00,0.0646,0.0997,1.5844,0.9219,11
20,62.00,28,-1,28.00,0.0612,0.0904,1.5844,0.9219,10
21,70.00,27,-1,27.00,0.0544,0.0864,1.5844,0.9219,10
22,72.00,26,-1,26.00,0.0531,0.0794,1.5844,0.9219,8
23,76.00,25,-1,25.00,0.0497,0.0744,1.5844,0.9219,8
24,66.00,24,-1,24.00,0.0497,0.0732,1.5844,0.9219,8
25,74.00,23,-1,23.00,0.0459,0.0694,1.5844,0.9219,8
26,68.00,22,-1,22.00,0.0437,0.0646,1.5844,0.9219,8
27,66.00,21,-1,21.00,0.0397,0.0575,1.5844,0.9219,8
28,76.00,20,-1,20.00,0.0334,0.0521,1.5844,0.9219,8
29,70.00,19,-1,19.00,0.0283,0.0474,1.5844,0.7219,7
30,64.00,18,-1,18.00,0.0266,0.0446,1.5844,0.7219,6
31,76.00,17,-1,17.00,0.0215,0.0405,1.5844,0.7219,6
32,76.00,16,-1,16.00,0.0215,0.0405,1.5844,0.7219,4
33,70.00,15,-1,15.00,0.0170,0.0362,1.5844,0.7219,4
34,74.00,14,-1,14.00,0.0153,0.0329,1.5844,0.7219,2
35,74.00,13,-1,13.00,0.0147,0.0317,1.5844,0.7219,2
36,74.00,12,-1,12.00,0.0147,0.0317,1.5844,0.7219,1
37,70.00,11,-1,11.00,0.0147,0.0317,1.5844,0.7219,1
38,72.00,10,-1,10.00,0.0102,0.0248,1.5844,0.7219,1
39,72.00,10,-1,10.00,0.0102,0.0248,1.5844,0.7219,0
