step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,100.00,34,-1,34.00,0.1445,0.1332,1.5844,0.0000,0
1,98.00,33,-1,33.00,0.1419,0.1349,1.5844,0.0000,44
2,96.00,32,-1,32.00,0.1378,0.1323,1.5844,0.0000,41
3,92.00,31,-1,31.00,0.1323,0.1287,1.5844,0.0000,40
4,94.00,30,-1,30.00,0.1215,0.1186,1.5844,0.0000,39
5,96.00,29,-1,29.00,0.1147,0.1202,1.5844,0.0000,36
6,92.00,28,-1,28.00,0.1108,0.1211,1.5844,0.0000,33
7,94.00,27,-1,27.00,0.1080,0.1185,1.5844,0.0000,31
8,94.00,26,-1,26.00,0.1053,0.1164,1.5844,0.4690,30
9,94.00,25,-1,25.00,0.1026,0.1151,1.5844,0.7219,30
10,94.00,24,-1,24.00,0.0999,0.1138,1.5844,0.8813,30
11,94.00,23,-1,23.00,0.0999,0.1134,1.5844,0.9710,30
12,94.00,22,-1,22.00,0.0863,0.1042,1.5844,1.0000,30
13,94.00,21,-1,21.00,0.0863,0.1042,1.5844,0.9710,29
14,94.00,20,-1,20.00,0.0727,0.0922,1.5844,0.8813,29
15,94.00,19,-1,19.00,0.0591,0.0807,1.5844,0.8813,21
16,94.00,18,-1,18.00,0.0500,0.0686,1.5844,0.8813,18
17,96.00,17,-1,17.00,0.0432,0.0640,1.5844,0.8813,17
18,96.00,16,-1,16.00,0.0327,0.0516,1.5844,0.8813,16
19,96.00,15,-1,15.00,0.0255,0.0453,1.5844,0.8813,12
20,98.00,14,-1,14.00,0.0249,0.0416,1.5844,0.8813,9
21,94.00,13,-1,13.00,0.0215,0.0383,1.5844,0.8813,6
22,96.00,12,-1,12.00,0.0136,0.0286,1.5844,0.8813,5
23,90.00,12,-1,12.00,0.0119,0.0254,1.5844,0.8813,2
24,90.00,12,-1,12.00,0.0119,0.0254,1.5844,0.8813,1
25,92.00,12,-1,12.00,0.0102,0.0248,1.5844,0.8813,1
26,92.00,12,-1,12.00,0.0102,0.0248,1.5844,0.8813,0
