step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,0.00,42,-1,42.00,0.1666,0.1258,1.5844,1.5710,0
1,8.00,41,-1,41.00,0.1673,0.1259,1.5844,1.5710,43
2,32.00,40,-1,40.00,0.1632,0.1243,1.5844,1.5219,35
3,24.00,39,-1,39.00,0.1576,0.1231,1.5844,1.5710,35
4,28.00,38,-1,38.00,0.1502,0.1264,1.5844,1.5710,35
5,36.00,37,-1,37.00,0.1491,0.1216,1.5844,1.5710,32
6,30.00,36,-1,36.00,0.1436,0.1229,1.5844,1.5710,32
7,38.00,35,-1,35.00,0.1366,0.1202,1.5844,1.5219,27
8,34.00,34,-1,34.00,0.1307,0.1172,1.5844,1.5219,27
9,42.00,33,-1,33.00,0.1280,0.1126,1.5844,1.5219,26
10,34.00,32,-1,32.00,0.1238,0.1141,1.5844,1.3610,26
11,50.00,31,-1,31.00,0.1179,0.1089,1.5844,1.3610,23
12,44.00,30,-1,30.00,0.1142,0.1079,1.5844,1.3610,21
13,50.00,29,-1,29.00,0.1035,0.1093,1.5844,1.3610,20
14,42.00,28,-1,28.00,0.0980,0.1051,1.5844,1.3610,18
15,36.00,27,-1,27.00,0.0905,0.1009,1.5844,1.3610,17
16,50.00,26,-1,26.00,0.0888,0.0946,1.5844,1.3610,17
17,46.00,25,-1,25.00,0.0862,0.0926,1.5844,1.3610,17
18,48.00,24,-1,24.00,0.0821,0.0885,1.5844,1.4855,16
19,46.00,23,-1,23.00,0.0714,0.0835,1.5844,1.4855,16
20,50.00,22,-1,22.00,0.0663,0.0796,1.5844,1.4855,13
21,52.00,21,-1,21.00,0.0627,0.0740,1.5844,1.4855,12
22,58.00,20,-1,20.00,0.0601,0.0698,1.5844,1.4855,12
23,50.00,19,-1,19.00,0.0501,0.0662,1.5844,1.5219,12
24,54.00,18,-1,18.00,0.0442,0.0616,1.5844,1.5219,11
25,52.00,17,-1,17.00,0.0378,0.0587,1.5844,1.5219,9
26,52.00,16,-1,16.00,0.0304,0.0530,1.5844,1.5219,9
27,44.00,15,-1,15.00,0.0287,0.0506,1.5844,1.5219,6
28,52.00,14,-1,14.00,0.0261,0.0478,1.5844,1.5219,6
29,44.00,13,-1,13.00,0.0227,0.0421,1.5844,1.5219,5
30,56.00,12,-1,12.00,0.0227,0.0404,1.5844,1.5219,5
31,44.00,11,-1,11.00,0.0193,0.0360,1.5844,1.5219,5
32,44.00,10,-1,10.00,0.0176,0.0339,1.5844,1.4855,5
33,50.00,9,-1,9.00,0.0176,0.0339,1.5844,1.5710,3
34,44.00,8,-1,8.00,0.0153,0.0325,1.5844,1.5710,3
35,40.00,7,-1,7.00,0.0153,0.0316,1.5844,1.5710,2
36,44.00,6,-1,6.00,0.0153,0.0316,1.5844,1.5710,2
37,44.00,5,-1,5.00,0.0147,0.0317,1.5844,1.5710,2
38,48.00,4,-1,4.00,0.0102,0.0248,1.5844,1.5710,1
39,48.00,4,-1,4.00,0.0102,0.0248,1.5844,1.5710,0
