step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,70.00,-1,-1,-1.00,0.1395,0.0926,1.5844,1.5219,0
1,70.00,-1,-1,-1.00,0.1474,0.0968,1.5844,1.3610,46
2,68.00,-1,-1,-1.00,0.1395,0.0926,1.5844,1.3610,46
3,66.00,-1,-1,-1.00,0.1325,0.0947,1.5844,1.2955,43
4,64.00,-1,-1,-1.00,0.1296,0.0914,1.5844,1.2955,39
5,60.00,-1,-1,-1.00,0.1284,0.0873,1.5844,1.3610,37
6,54.00,-1,-1,-1.00,0.1245,0.0897,1.5844,1.3610,37
7,52.00,-1,-1,-1.00,0.1206,0.0909,1.5844,1.0000,34
8,62.00,-1,-1,-1.00,0.1167,0.0889,1.5844,0.9710,32
9,62.00,-1,-1,-1.00,0.1115,0.0909,1.5844,0.9710,32
10,76.00,-1,-1,-1.00,0.1042,0.0890,1.5844,0.9710,29
11,72.00,-1,-1,-1.00,0.0981,0.0861,1.5844,0.9710,27
12,62.00,-1,-1,-1.00,0.0868,0.0892,1.5844,1.3610,26
13,72.00,-1,-1,-1.00,0.0781,0.0855,1.5844,1.3610,23
14,76.00,-1,-1,-1.00,0.0740,0.0793,1.5844,1.4855,20
15,78.00,-1,-1,-1.00,0.0693,0.0763,1.5844,1.4855,18
16,70.00,-1,-1,-1.00,0.0693,0.0702,1.5844,1.4855,18
17,68.00,-1,-1,-1.00,0.0625,0.0715,1.5844,1.4855,18
18,66.00,-1,-1,-1.00,0.0611,0.0660,1.5844,1.3610,16
19,54.00,-1,-1,-1.00,0.0563,0.0625,1.5844,1.3610,16
20,58.00,-1,-1,-1.00,0.0533,0.0618,1.5844,1.3610,15
21,52.00,-1,-1,-1.00,0.0493,0.0625,1.5844,1.3610,15
22,54.00,-1,-1,-1.00,0.0442,0.0596,1.5844,1.3610,13
23,64.00,-1,-1,-1.00,0.0416,0.0536,1.5844,1.3610,12
24,58.00,-1,-1,-1.00,0.0362,0.0499,1.5844,1.3610,11
25,52.00,-1,-1,-1.00,0.0307,0.0477,1.5844,1.3610,9
26,62.00,-1,-1,-1.00,0.0253,0.0432,1.5844,1.5219,8
27,62.00,-1,-1,-1.00,0.0198,0.0398,1.5844,1.4855,6
28,62.00,-1,-1,-1.00,0.0198,0.0340,1.5844,1.4855,5
29,58.00,-1,-1,-1.00,0.0181,0.0336,1.5844,1.5219,5
30,60.00,-1,-1,-1.00,0.0164,0.0331,1.5844,1.5219,4
31,64.00,-1,-1,-1.00,0.0159,0.0329,1.5844,1.5219,4
32,60.00,-1,-1,-1.00,0.0142,0.0326,1.5844,1.5219,3
33,56.00,-1,-1,-1.00,0.0136,0.0327,1.5844,1.5219,2
34,60.00,-1,-1,-1.00,0.0102,0.0260,1.5844,1.5219,1
35,60.00,-1,-1,-1.00,0.0102,0.0221,1.5844,1.5219,1
36,60.00,-1,-1,-1.00,0.0102,0.0221,1.5844,1.5219,1
37,60.00,-1,-1,-1.00,0.0102,0.0221,1.5844,1.5219,1
38,54.00,-1,-1,-1.00,0.0102,0.0221,1.5844,1.5219,1
39,56.00,-1,-1,-1.00,0.0085,0.0206,1.5844,1.5219,1
40,54.00,-1,-1,-1.00,0.0085,0.0200,1.5844,1.4855,1
41,60.00,-1,-1,-1.00,0.0085,0.0200,1.5844,1.4855,1
42,60.00,-1,-1,-1.00,0.0085,0.0200,1.5844,1.4855,1
43,60.00,-1,-1,-1.00,0.0079,0.0201,1.5844,1.4855,1
44,60.00,-1,-1,-1.00,0.0079,0.0201,1.5844,1.4855,0
