step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,100.00,46,-1,46.00,0.1518,0.1084,0.0000,0.0000,0
1,100.00,45,-1,45.00,0.1476,0.1071,0.0000,0.0000,37
2,100.00,44,-1,44.00,0.1352,0.1066,0.0000,0.0000,36
3,100.00,43,-1,43.00,0.1240,0.1065,0.0000,0.0000,35
4,100.00,42,-1,42.00,0.1140,0.1058,0.0000,0.0000,31
5,100.00,41,-1,41.00,0.1070,0.1041,0.0000,0.0000,29
6,100.00,40,-1,40.00,0.0946,0.1012,0.0000,0.0000,26
7,100.00,39,-1,39.00,0.0888,0.0959,0.0000,0.0000,24
8,100.00,38,-1,38.00,0.0764,0.0891,0.0000,0.0000,22
9,100.00,37,-1,37.00,0.0742,0.0822,0.0000,0.0000,21
10,100.00,36,-1,36.00,0.0742,0.0818,0.0000,0.0000,18
11,100.00,35,-1,35.00,0.0665,0.0822,0.0000,0.0000,18
12,100.00,34,-1,34.00,0.0604,0.0785,0.0000,0.0000,15
13,100.00,33,-1,33.00,0.0587,0.0775,0.0000,0.0000,14
14,100.00,32,-1,32.00,0.0488,0.0703,0.0000,0.0000,13
15,100.00,31,-1,31.00,0.0482,0.0634,0.0000,0.0000,12
16,100.00,30,-1,30.00,0.0428,0.0591,0.0000,0.0000,11
17,100.00,29,-1,29.00,0.0428,0.0564,0.0000,0.0000,11
18,100.00,28,-1,28.00,0.0365,0.0557,0.0000,0.0000,11
19,100.00,27,-1,27.00,0.0348,0.0560,0.0000,0.0000,7
20,100.00,26,-1,26.00,0.0331,0.0542,0.0000,0.0000,7
21,100.00,25,-1,25.00,0.0286,0.0521,0.0000,0.0000,6
22,100.00,24,-1,24.00,0.0269,0.0503,0.0000,0.0000,5
23,100.00,23,-1,23.00,0.0269,0.0481,0.0000,0.0000,5
24,100.00,22,-1,22.00,0.0246,0.0476,0.0000,0.0000,5
25,100.00,21,-1,21.00,0.0246,0.0467,0.0000,0.0000,5
26,100.00,20,-1,20.00,0.0241,0.0469,0.0000,0.0000,5
27,100.00,19,-1,19.00,0.0235,0.0464,0.0000,0.0000,4
28,100.00,18,-1,18.00,0.0235,0.0458,0.0000,0.0000,4
29,100.00,17,-1,17.00,0.0235,0.0458,0.0000,0.0000,4
30,100.00,16,-1,16.00,0.0229,0.0453,0.0000,0.0000,4
31,100.00,15,-1,15.00,0.0184,0.0409,0.0000,0.0000,4
32,100.00,14,-1,14.00,0.0178,0.0410,0.0000,0.0000,3
33,100.00,13,-1,13.00,0.0178,0.0410,0.0000,0.0000,2
34,100.00,12,-1,12.00,0.0178,0.0410,0.0000,0.0000,2
35,100.00,11,-1,11.00,0.0133,0.0363,0.0000,0.0000,2
36,100.00,10,-1,10.00,0.0133,0.0363,0.0000,0.0000,1
37,100.00,9,-1,9.00,0.0133,0.0363,0.0000,0.0000,1
38,100.00,8,-1,8.00,0.0087,0.0302,0.0000,0.0000,1
39,100.00,8,-1,8.00,0.0087,0.0302,0.0000,0.0000,0
