algotype,frozen,trial,swaps
Bubble,0,0,612
Bubble,0,1,598
Bubble,0,2,605
Bubble,0,3,615
Bubble,0,4,608
Bubble,0,5,602
Bubble,0,6,610
Bubble,0,7,598
Bubble,0,8,607
Bubble,0,9,611
Fib,0,0,468
Fib,0,1,475
Fib,0,2,462
Fib,0,3,478
Fib,0,4,471
Fib,0,5,465
Fib,0,6,473
Fib,0,7,469
Fib,0,8,466
Fib,0,9,472
Insert,0,0,598
Insert,0,1,605
Insert,0,2,592
Insert,0,3,608
Insert,0,4,601
Insert,0,5,595
Insert,0,6,603
Insert,0,7,597
Insert,0,8,606
Insert,0,9,599
Select,0,0,1224
Select,0,1,1224
Select,0,2,1224
Select,0,3,1224
Select,0,4,1224
Select,0,5,1224
Select,0,6,1224
Select,0,7,1224
Select,0,8,1224
Select,0,9,1224
Bubble,2,0,655
Bubble,2,1,642
Bubble,2,2,668
Bubble,2,3,651
Bubble,2,4,659
Bubble,2,5,645
Bubble,2,6,663
Bubble,2,7,648
Bubble,2,8,657
Bubble,2,9,661
Fib,2,0,492
Fib,2,1,505
Fib,2,2,488
Fib,2,3,510
Fib,2,4,498
Fib,2,5,495
Fib,2,6,502
Fib,2,7,491
Fib,2,8,507
Fib,2,9,503
Insert,2,0,645
Insert,2,1,638
Insert,2,2,658
Insert,2,3,641
Insert,2,4,652
Insert,2,5,639
Insert,2,6,655
Insert,2,7,643
Insert,2,8,649
Insert,2,9,654
Select,2,0,1285
Select,2,1,1278
Select,2,2,1292
Select,2,3,1281
Select,2,4,1289
Select,2,5,1275
Select,2,6,1294
Select,2,7,1280
Select,2,8,1287
Select,2,9,1291
